date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:38	295/295	---MCZ	200	added ('OK')	text/plain	etag:W/%221e9-13fbnTG9kSwIU1Wb+MdXohi60Zg%22	https://www.lotrems.com/robots.txt		(from )
11:22:39	610698/610698	---MCZ	200	added ('OK')	text/html	etag:W/%220608393aa04fe02545acf7084b97e0a9%22	https://www.lotrems.com/	C:/My%20Web%20Sites/lotrens/www.lotrems.com/index.html	(from )
11:22:39	29377/29377	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Nov%202025%2019:22:38%20GMT	https://static.wixstatic.com/media/702882_90849554162e484aa939befd5bd02aeb~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/702882_90849554162e484aa939befd5bd02aeb~mv2.png	C:/My%20Web%20Sites/lotrens/static.wixstatic.com/media/702882_90849554162e484aa939befd5bd02aeb_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/702882_90849554162e484aa939befd5bd02aeb_mv2.png	(from https://www.lotrems.com/)
11:22:39	2299/2299	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Nov%202025%2019:22:39%20GMT	https://static.wixstatic.com/media/702882_90849554162e484aa939befd5bd02aeb~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/702882_90849554162e484aa939befd5bd02aeb~mv2.png	C:/My%20Web%20Sites/lotrens/static.wixstatic.com/media/702882_90849554162e484aa939befd5bd02aeb_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/702882_90849554162e484aa939befd5bd02aeb_mv2.png	(from https://www.lotrems.com/)
11:22:40	26171/26171	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Nov%202025%2019:22:39%20GMT	https://static.wixstatic.com/media/702882_90849554162e484aa939befd5bd02aeb~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/702882_90849554162e484aa939befd5bd02aeb~mv2.png	C:/My%20Web%20Sites/lotrens/static.wixstatic.com/media/702882_90849554162e484aa939befd5bd02aeb_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/702882_90849554162e484aa939befd5bd02aeb_mv2.png	(from https://www.lotrems.com/)
11:22:40	432253/432253	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/My%20Web%20Sites/lotrens/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.lotrems.com/)
11:22:40	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/lotrens/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.lotrems.com/)
11:22:40	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/lotrens/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.lotrems.com/)
11:22:41	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Nov%202025%2019:22:40%20GMT	https://www.lotrems.com/t	C:/My%20Web%20Sites/lotrens/www.lotrems.com/t.6.delayed	(from https://www.lotrems.com/)
11:22:41	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Nov%202025%2019:22:40%20GMT	https://www.lotrems.com/e	C:/My%20Web%20Sites/lotrens/www.lotrems.com/e.7.delayed	(from https://www.lotrems.com/)
